Year,temp_anomaly_fc,co2_fc,sea_level_mm_fc,climate_displaced_fc
2025,1.1315191387560617,426.0311699812446,119.56756286647578,34.619863636937225
2026,1.162852204836554,428.60320843330555,124.19491603258939,36.29898899002001
2027,1.1945876466351137,431.2021147245614,128.88569965041825,38.05789681064198
2028,1.2267254641518548,433.8278888549976,133.6399137199769,39.89658709880314
2029,1.2592656573868908,436.4805308246214,138.4575582412508,41.81505985450349
2030,1.2922082263399943,439.1600406334401,143.33863321425451,43.81331507774303
2031,1.3255531710112791,441.8664182814391,148.28313863895892,45.89135276855086
2032,1.3593004914007452,444.59966376862576,153.29107451540767,48.04917292686878
2033,1.3934501875082788,447.3597770950146,158.36244084355712,50.28677555275499
2034,1.4280022593341073,450.14675826057646,163.49723762340727,52.60416064620949
2035,1.462956706878117,452.96060726533324,168.69546485500177,55.00132820717408
2036,1.4983135301401944,455.80132410927763,173.95712253832608,57.478278235706966
2037,1.534072729120453,458.66890879240964,179.28221067335107,60.03501073177904
2038,1.5702343038190065,461.56336131472926,184.67072926012042,62.6715256953903
2039,1.606798254235514,464.4846816762438,190.12267829859047,65.38782312654075
2040,1.6437645803702026,467.43286987693864,195.63805778879032,68.1839030252595
2041,1.6811332822231861,470.4079259168284,201.21686773070542,71.05976539154653
2042,1.718904359794351,473.4098497958985,206.8591081243503,74.01541022534366
2043,1.7570778130835834,476.4386415141562,212.56477896971046,77.05083752667997
2044,1.7956536420911107,479.49430107161606,218.33388026675675,80.16604729558458
2045,1.8346318468165919,482.576828468249,224.1664120155474,83.36103953202837
2046,1.874012427260368,485.68622370407684,230.06237421606784,86.63581423601136
2047,1.9137953834223254,488.8224867790923,236.02176686830353,89.99037140753353
2048,1.953980715302464,491.98561769329535,242.04458997226902,93.424711046624
2049,1.9945684229007838,495.17561644668604,248.13084352794976,96.93883315325365
2050,2.0355585062171713,498.3924830392716,254.28052753534575,100.5327377274225
