Year,sea_level_mm,sea_level_mm_norm
1950,78.88218367936567,-56.249507014174455
1951,80.1645589473881,-54.96713174615202
1952,80.8462217743301,-54.28546891921002
1953,82.53747777943863,-52.59421291410149
1954,85.40704856718206,-49.72464212635806
1955,87.40564922072083,-47.72604147281929
1956,88.97442785344596,-46.15726284009416
1957,90.10837898252986,-45.023311711010265
1958,89.16746593939011,-45.96422475415001
1959,90.06769121076984,-45.063999482770285
1960,91.83414925296171,-43.297541440578414
1961,95.84382181514137,-39.287868878398754
1962,95.84058955106502,-39.2911011424751
1963,91.50218121160887,-43.62950948193125
1964,93.42948652460795,-41.70220416893217
1965,92.30975876416323,-42.82193192937689
1966,99.7515913939768,-35.38009929956333
1967,101.91701342646994,-33.214677267070186
1968,100.23852885592656,-34.89316183761356
1969,100.75415359256739,-34.37753710097273
1970,104.40871030984378,-30.72298038369634
1971,103.53300701642897,-31.598683677111154
1972,103.14734326925642,-31.984347424283698
1973,106.13833714906198,-28.99335354447814
1974,106.37425989471348,-28.757430798826647
1975,108.14120508420746,-26.990485609332666
1976,111.37748250627983,-23.75420818726029
1977,109.0336981568549,-26.097992536685226
1978,113.35277463308275,-21.778916060457377
1979,114.4720327834457,-20.659657910094424
1980,115.2716813543901,-19.860009339150025
1981,116.21037180901624,-18.921318884523885
1982,117.64305165317803,-17.488639040362088
1983,117.05789300377505,-18.073797689765073
1984,120.65714722359974,-14.474543469940386
1985,123.2643471163883,-11.867343577151829
1986,124.07260592639312,-11.059084767146999
1987,126.33004962431262,-8.8016410692275
1988,124.23442965680152,-10.897261036738598
1989,124.68083914264484,-10.45085155089528
1990,126.7665141476641,-8.365176545876025
1991,125.71837198114756,-9.413318712392567
1992,130.80544164038076,-4.3262490531593585
1993,135.13169069354012,0.0
1994,136.80604466968586,1.6743539761457384
1995,142.3102760394736,7.17858534593347
1996,142.32950681430793,7.197816120767811
1997,146.49462799709553,11.362937303555412
1998,150.17297830655934,15.041287613019222
1999,153.53094206566553,18.399251372125406
2000,153.3334387696071,18.20174807606699
2001,159.66481988770727,24.533129194167145
2002,162.54547999335685,27.413789299816727
2003,168.41757751951042,33.285886825970294
2004,169.9391532774116,34.807462583871484
2005,173.3942998254436,38.262609131903474
2006,177.10751756958945,41.975826876049325
2007,183.19638267693477,48.06469198339465
2008,184.7338418401746,49.60215114663447
2009,191.47435010521252,56.3426594116724
2010,195.95586003684295,60.82416934330283
2011,198.61906210253449,63.48737140899436
2012,201.33852258130963,66.20683188776951
2013,204.61132705728357,69.47963636374345
2014,209.17144206090325,74.03975136736312
2015,212.45179912080167,77.32010842726154
2016,217.5236981574136,82.39200746387348
2017,223.9853913183203,88.85370062478017
2018,226.17730899255452,91.0456182990144
2019,231.68925338722374,96.55756269368362
2020,231.6611331972141,96.52944250367398
2021,238.19786496867266,103.06617427513254
2022,241.83914995043654,106.70745925689641
2023,248.03332222860539,112.90163153506526
2024,252.91300027041711,117.78130957687699
